Area,Weather,High Temparture (F),Low Temperature (F), Date
"Grand Lake, CO",Passing clouds,46,26,12/30/2024
"Buellton, CA",Sunny,70,40,12/30/2024
"Kilauea, HI",Partly sunny,80,72,12/30/2024
"Honolulu, HI",Scattered clouds,81,73,12/30/2024
"Madison, NH",Low clouds,54,35,12/30/2024
"Solvang, CA",Sunny,70,40,12/30/2024
"Avila Beach, CA",Sunny,67,51,12/30/2024
"Borrego Springs, CA",Sunny,75,47,12/30/2024
"Crescent, OR",Sunny,39,24,12/30/2024
"Grand Lake, CO",Scattered clouds,36,18,12/31/2024
"Buellton, CA",Light snow. Ice fog,71,35,12/31/2024
"Kilauea, HI",Passing clouds,81,73,12/31/2024
"Honolulu, HI",Passing clouds,82,74,12/31/2024
"Madison, NH",Clear,46,33,12/31/2024
"Solvang, CA",Light snow. Ice fog,71,35,12/31/2024
"Avila Beach, CA",Clear,68,46,12/31/2024
"Borrego Springs, CA",Sunny,74,45,12/31/2024
"Crescent, OR",Clear,39,21,12/31/2024
"Grand Lake, CO",Clear,43,15,01/08/2025
"Buellton, CA",Clear,71,36,01/08/2025
"Kilauea, HI",Light rain. Overcast,79,71,01/08/2025
"Honolulu, HI",Partly cloudy,78,72,01/08/2025
"Madison, NH",Clear,20,12,01/08/2025
"Solvang, CA",Clear,71,36,01/08/2025
"Avila Beach, CA",Clear,70,42,01/08/2025
"Borrego Springs, CA",Passing clouds,70,47,01/08/2025
"Crescent, OR",Clear,51,31,01/08/2025
"Grand Lake, CO",Overcast,33,15,01/09/2025
"Buellton, CA",Clear,72,35,01/09/2025
"Kilauea, HI",Overcast,78,71,01/09/2025
"Honolulu, HI",Passing clouds,79,72,01/09/2025
"Madison, NH",Overcast,23,13,01/09/2025
"Solvang, CA",Clear,72,35,01/09/2025
"Avila Beach, CA",Clear,68,41,01/09/2025
"Borrego Springs, CA",Clear,74,44,01/09/2025
"Crescent, OR",Ice fog,45,27,01/09/2025
